id	cat	testId	psnr
3128284	cshd	p56.webp	46.8393
3128284	cshd	q95.jpg	47.284
3128284	cshd	q95p.jpg	47.2872
3128284	cshd	q95.webp	45.7853
3128284	cshd	q95.avif	16.1928
3173147	flat	p56.webp	47.7772
3173147	flat	q95.jpg	7.71978
3173147	flat	q95p.jpg	7.71981
3173147	flat	q95.webp	47.7992
3173147	flat	q95.avif	7.10704
3213053	cshd	p56.webp	49.2237
3213053	cshd	q95.jpg	50.2775
3213053	cshd	q95p.jpg	50.2867
3213053	cshd	q95.webp	49.6156
3213053	cshd	q95.avif	11.8559
3361674	flat	p56.webp	45.1074
3361674	flat	q95.jpg	48.8284
3361674	flat	q95p.jpg	48.8711
3361674	flat	q95.webp	45.2042
3361674	flat	q95.avif	8.23919
3128284	cshd	d0.avif	16.1922
3128284	cshd	d0.webp	inf
3173147	flat	d0.avif	7.1106
3173147	flat	d0.webp	inf
3213053	cshd	d0.avif	11.8566
3213053	cshd	d0.webp	inf
3361674	flat	d0.avif	8.24026
3361674	flat	d0.webp	inf
