id	cat	testId	qparam
2857265	cels	avif	91
2857265	cels	jpg	80
2857265	cels	jxl	2
2857265	cels	p.jpg	80
2857265	cels	webp	93
2877671	flat	avif	89
2877671	flat	jpg	79
2877671	flat	jxl	-d 2
2877671	flat	p.jpg	80
2877671	flat	webp	90
2990286	3d	avif	
2990286	3d	jpg	
2990286	3d	jxl	-d 2
2990286	3d	p.jpg	
2990286	3d	webp	
3060415	cshd	avif	
3060415	cshd	jpg	
3060415	cshd	jxl	-d 2
3060415	cshd	p.jpg	
3060415	cshd	webp	
3115030	flat	avif	
3115030	flat	jpg	
3115030	flat	jxl	-d 2
3115030	flat	p.jpg	
3115030	flat	webp	
3213053	cshd	avif	
3213053	cshd	jpg	
3213053	cshd	jxl	-d 2
3213053	cshd	p.jpg	
3213053	cshd	webp	
3314712	skec	avif	
3314712	skec	jpg	
3314712	skec	jxl	-d 2
3314712	skec	p.jpg	
3314712	skec	webp	
3320429	g4sa	avif	
3320429	g4sa	jpg	
3320429	g4sa	jxl	-d 2
3320429	g4sa	p.jpg	
3320429	g4sa	webp	
3381599	g4sa	avif	
3381599	g4sa	jpg	
3381599	g4sa	jxl	-d 2
3381599	g4sa	p.jpg	
3381599	g4sa	webp	
3386129	3d	avif	
3386129	3d	jpg	
3386129	3d	jxl	-d 2
3386129	3d	p.jpg	
3386129	3d	webp	
3400507	skec	avif	
3400507	skec	jpg	
3400507	skec	jxl	-d 2
3400507	skec	p.jpg	
3400507	skec	webp	
3402125	cels	avif	
3402125	cels	jpg	
3402125	cels	jxl	-d 2
3402125	cels	p.jpg	
3402125	cels	webp	
